protein	ionm	id	uid	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtmin	rtmax	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fa4p	fa4c	fa4u	fullhgroup	mhgroup	uhgroup	phgroup	hgcc	cc	hgfa	ccfa	adduct	mz_theoretical	ppm	set0	set1	set2	screen	exp_date	domain	lit	lcb_pref	manual_id0	comment	manual_id1	manual_id2	invivo_585_681
ARHGAP1	pos	0	2	468.441	468.443668708377	1000000	IV	ambiguous	5.13	NaN	4.35	10.16	Cer		d	29.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	dCer	ambiguous	dCer	Cer	Cer(d29:1)	29:1	NA	NA	[M+H]+	468.44112146677	5.437698550033791	True	True	False	A	2015-04-08	CRAL-TRIO	False	False	[M+H]+: Ceramide (d29:1); Ceramide (DH29:1)		[M+H]+: Ceramide (d*29:1)		NaN
ARHGAP1	pos	0	2	468.441	468.443668708377	1000000	IV	ambiguous	5.13	NaN	4.35	10.16	Cer		DH	29.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	DHCer	ambiguous	DHCer	Cer	Cer(DH29:1)	29:1	NA	NA	[M+H]+	468.44112116709	5.438338292479607	True	True	False	A	2015-04-08	CRAL-TRIO	False	False	[M+H]+: Ceramide (d29:1); Ceramide (DH29:1)		[M+H]+: Ceramide (d*29:1)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		DH	38.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	DHCer-OH	ambiguous	DHCer-OH	Cer	Cer(DH38:6-OH)	38:6	NA	NA	[M+Na]+	622.4805802795908	6.531070500819019	False	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		d	30.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	dCer-PE	ambiguous	dCer-PE	Cer	Cer-PE(d30:1)	30:1	NA	NA	[M+NH4]+	622.4918495533308	-11.572535752876082	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PC	Lyso	O	26.0	0.0	O	26.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Lyso-PC-O	ambiguous	Lyso-PC-O	PC	Lyso-PC(O-26:0)	26:0	Lyso-PC(O-26:0)	26:0	[M+H]+	622.5169814667701	-51.94351895095656	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PA		O	30.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA	PA(O-30:1)	30:1	NA	NA	[M+NH4]+	622.4806169824308	6.4721078942284525	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	DAG			35.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG	DAG(35:3)	35:3	NA	NA	[M+NH4]+	622.5404785533308	-89.68542786901246	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PE		O	28.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE	PE(O-28:0)	28:0	NA	NA	[M+H]+	622.48061846677	6.469723323851189	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		t	38.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	tCer	ambiguous	tCer	Cer	Cer(t38:6)	38:6	NA	NA	[M+Na]+	622.4805807020907	6.530391760408226	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		d	39.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	dCer	ambiguous	dCer	Cer	Cer(d39:5)	39:5	NA	NA	[M+Na]+	622.5169657020907	-51.91819617046634	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
